Category,Account,Scenario,2024,2025,2026,2027,2028,2029,2030,2031
Beban,Beban Operasional,Pesimis,190800000.0,196290000.0,202459500.0,209301975.0,216814623.75,224998149.9375,233856572.93437502,243397065.53109378
Beban,Beban Marketing,Pesimis,1511845000.0,1582207250.0,1656106862.5,1733722630.625,1815242479.65625,1900863942.8890624,1990794663.2085156,2085252921.8614414
Beban,Beban Gaji,Pesimis,1122600000.0,1110600000.0,1134600000.0,1134600000.0,1158600000.0,1140600000.0,1170600000.0,1170600000.0
Beban,Beban Pendukung,Pesimis,299687500.0,256875000.0,214062500.0,171250000.0,128437500.0,85625000.0,42812500.0,0.0
Beban,Beban Lain-lain,Pesimis,312493250.0,314597225.0,320722886.25,324887460.5625,331909460.34062505,335208709.28265625,343806373.61428905,349924998.7392535
Beban,Total Beban,Pesimis,3437425750.0,3460569475.0,3527951748.75,3573762066.1875,3651004063.746875,3687295802.1092186,3781870109.7571793,3849174986.1317887
Beban,nan,Pesimis,,,,,,,,
Beban,EBITDA,Pesimis,-63379701.57633734,247980314.4022708,548264563.3839507,906571316.6319141,1273510653.8485193,1725436495.1808767,2167481776.1141615,2689997084.0704265
Beban,Depresiasi,Pesimis,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0
Beban,Interest Expense,Pesimis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beban,nan,Pesimis,,,,,,,,
Beban,EBT,Pesimis,-106192201.57633734,205167814.4022708,505452063.3839507,863758816.6319141,1230698153.8485193,1682623995.1808767,2124669276.1141615,2647184584.0704265
Beban,"Taxes 0,5%",Pesimis,16870230.242118314,18542748.947011355,20381081.560669754,22401666.91409707,24622573.58797697,27063661.48645048,29746759.429356705,32695860.351011075
Beban,nan,Pesimis,,,,,,,,
Beban,Net Income,Pesimis,-123062431.81845565,186625065.45525944,485070981.82328093,841357149.7178171,1206075580.2605424,1655560333.6944263,2094922516.6848047,2614488723.719415
Beban,nan,Pesimis,,,,,,,,
Beban,nan,Pesimis,309687497.2737151,,298445916.3680215,,364718430.5427253,,439362182.9903784,
Beban,nan,Pesimis,-2.5165072126201173,1.1017958843069138,0.5922167119671106,0.47987668895931673,,,,
Beban,nan,Pesimis,-0.08565448184669407,,,,,,,
